Date,Price,Open,High,Low,Vol.,Change %
11/5/23,1892.36,1855.72,1911.00,1846.57,418.91K,1.97%
11/4/23,1855.72,1832.31,1868.52,1824.40,190.18K,1.28%
11/3/23,1832.29,1800.28,1834.16,1779.79,337.00K,1.78%
11/2/23,1800.27,1846.60,1873.02,1789.00,398.43K,-2.51%
11/1/23,1846.60,1815.12,1857.00,1783.98,509.01K,1.73%
10/31/23,1815.13,1809.05,1819.43,1783.32,279.11K,0.34%
10/30/23,1809.05,1794.96,1829.47,1778.59,304.47K,0.78%
10/29/23,1794.96,1776.21,1809.98,1764.08,156.39K,1.06%
10/28/23,1776.21,1779.54,1801.12,1772.08,134.10K,-0.19%
10/27/23,1779.54,1803.38,1803.63,1751.77,298.24K,-1.31%
10/26/23,1803.13,1787.00,1864.81,1764.43,471.17K,0.90%
10/25/23,1787.00,1784.88,1814.21,1761.39,389.39K,0.12%
10/24/23,1784.88,1763.79,1853.31,1757.32,750.21K,1.20%
10/23/23,1763.75,1663.35,1791.99,1657.57,672.28K,6.04%
10/22/23,1663.35,1628.94,1667.50,1623.29,246.68K,2.11%
10/21/23,1628.94,1603.89,1642.33,1592.41,188.94K,1.56%
10/20/23,1603.89,1566.78,1629.26,1561.62,343.61K,2.37%
10/19/23,1566.79,1563.43,1573.48,1543.87,238.42K,0.21%
10/18/23,1563.43,1564.99,1583.77,1556.15,199.43K,-0.10%
10/17/23,1564.99,1599.48,1600.49,1553.63,250.22K,-2.16%
10/16/23,1599.48,1557.79,1635.46,1555.13,452.69K,2.69%
10/15/23,1557.66,1554.96,1565.80,1550.05,128.70K,0.17%
10/14/23,1554.96,1552.17,1559.94,1545.32,107.26K,0.18%
10/13/23,1552.17,1539.70,1574.08,1538.07,208.91K,0.81%
10/12/23,1539.70,1566.88,1568.47,1523.78,260.59K,-1.73%
10/11/23,1566.88,1567.62,1578.16,1549.16,279.01K,-0.05%
10/10/23,1567.60,1579.77,1593.73,1552.34,255.41K,-0.77%
10/9/23,1579.74,1632.85,1635.13,1550.10,372.11K,-3.25%
10/8/23,1632.85,1633.58,1641.30,1616.80,159.27K,-0.04%
10/7/23,1633.58,1640.59,1643.25,1630.18,107.55K,-0.73%
10/6/23,1645.62,1611.58,1659.99,1611.58,238.24K,2.11%
10/5/23,1611.58,1646.61,1654.03,1609.54,253.05K,-2.15%
10/4/23,1647.05,1656.88,1657.61,1630.48,243.08K,-0.59%
10/3/23,1656.88,1662.79,1670.45,1644.05,216.11K,-0.36%
10/2/23,1662.79,1732.90,1742.42,1638.04,412.81K,-4.05%
10/1/23,1732.89,1670.92,1741.94,1668.94,245.32K,3.71%
9/30/23,1670.92,1667.71,1693.68,1666.25,147.60K,0.19%
9/29/23,1667.72,1652.89,1686.63,1648.47,273.45K,0.90%
9/28/23,1652.89,1598.53,1667.61,1598.16,354.03K,3.40%
9/27/23,1598.49,1594.05,1633.50,1585.28,307.59K,0.28%
9/26/23,1594.04,1588.62,1597.67,1580.60,141.61K,0.34%
9/25/23,1588.62,1580.55,1596.57,1564.70,191.41K,0.51%
9/24/23,1580.55,1593.89,1600.37,1573.94,144.30K,-0.84%
9/23/23,1593.89,1593.10,1597.96,1587.79,69.31K,0.05%
9/22/23,1593.10,1584.03,1601.79,1578.78,135.12K,0.57%
9/21/23,1584.03,1622.28,1625.31,1569.03,264.25K,-2.36%
9/20/23,1622.28,1643.14,1649.17,1610.14,253.88K,-1.27%
9/19/23,1643.08,1636.88,1659.53,1627.31,201.84K,0.38%
9/18/23,1636.92,1622.63,1668.87,1609.69,302.35K,0.88%
9/17/23,1622.65,1634.41,1635.00,1612.87,127.49K,-0.72%
9/16/23,1634.41,1641.31,1650.04,1631.74,107.11K,-0.42%
9/15/23,1641.31,1626.49,1652.40,1612.25,194.29K,0.91%
9/14/23,1626.49,1607.63,1639.23,1607.08,293.64K,1.17%
9/13/23,1607.63,1592.50,1614.43,1582.03,238.31K,0.95%
9/12/23,1592.50,1551.89,1617.39,1549.71,354.59K,2.62%
9/11/23,1551.89,1617.44,1618.80,1533.95,444.95K,-4.05%
9/10/23,1617.44,1635.56,1635.72,1604.26,220.97K,-1.11%
9/9/23,1635.56,1636.45,1637.21,1630.12,63.97K,-0.05%
9/8/23,1636.45,1648.09,1657.53,1618.39,236.38K,-0.71%
9/7/23,1648.09,1633.18,1658.04,1624.07,243.55K,0.91%
9/6/23,1633.18,1634.46,1667.08,1610.49,240.73K,-0.08%
9/5/23,1634.46,1630.53,1647.67,1610.02,219.79K,0.24%
9/4/23,1630.51,1635.86,1643.31,1618.49,178.25K,-0.33%
9/3/23,1635.85,1637.05,1645.16,1625.61,124.14K,-0.07%
9/2/23,1637.05,1629.00,1644.63,1628.11,109.03K,0.49%
9/1/23,1629.00,1645.82,1654.39,1603.67,319.19K,-1.02%
8/31/23,1645.82,1705.23,1723.95,1634.74,355.27K,-3.48%
8/30/23,1705.22,1729.69,1730.71,1696.99,218.44K,-1.41%
8/29/23,1729.69,1653.22,1742.83,1640.29,528.63K,4.63%
8/28/23,1653.22,1658.34,1660.80,1628.79,229.39K,-0.31%
8/27/23,1658.33,1647.05,1660.11,1646.35,94.20K,0.68%
8/26/23,1647.05,1653.74,1655.58,1644.04,84.34K,-0.40%
8/25/23,1653.74,1661.18,1676.13,1636.77,250.86K,-0.43%
8/24/23,1660.89,1679.93,1683.03,1642.45,246.62K,-1.13%
8/23/23,1679.93,1634.30,1697.63,1629.86,399.71K,2.79%
8/22/23,1634.29,1667.60,1669.22,1588.36,424.51K,-2.00%
8/21/23,1667.60,1685.24,1686.11,1651.77,265.91K,-1.05%
8/20/23,1685.24,1669.68,1692.47,1662.82,205.82K,0.93%
8/19/23,1669.67,1661.27,1693.88,1654.35,243.31K,0.51%
8/18/23,1661.26,1681.51,1698.77,1646.32,572.90K,-1.34%
8/17/23,1683.89,1807.81,1809.81,1560.88,876.70K,-6.85%
8/16/23,1807.81,1828.98,1831.52,1803.31,217.47K,-1.16%
8/15/23,1828.98,1845.51,1847.35,1816.32,196.60K,-0.90%
8/14/23,1845.51,1840.73,1856.48,1835.90,158.11K,0.26%
8/13/23,1840.73,1849.94,1861.50,1835.51,126.51K,-0.50%
8/12/23,1849.94,1848.88,1853.54,1846.13,66.93K,0.06%
8/11/23,1848.88,1852.46,1857.17,1840.65,120.55K,-0.19%
8/10/23,1852.46,1855.36,1865.94,1847.34,134.21K,-0.16%
8/9/23,1855.36,1856.24,1870.48,1846.76,203.58K,-0.05%
8/8/23,1856.24,1829.10,1871.77,1826.40,253.39K,1.48%
8/7/23,1829.11,1830.28,1846.41,1805.30,243.92K,-0.06%
8/6/23,1830.28,1836.48,1838.08,1826.12,100.32K,-0.34%
8/5/23,1836.48,1830.24,1838.62,1827.52,103.08K,0.34%
8/4/23,1830.24,1835.98,1849.13,1819.65,199.60K,-0.31%
8/3/23,1835.98,1839.76,1858.62,1828.34,182.56K,-0.23%
8/2/23,1840.21,1874.21,1879.32,1822.94,272.70K,-1.81%
8/1/23,1874.21,1856.17,1875.00,1818.06,386.29K,0.97%
7/31/23,1856.17,1861.81,1876.03,1851.42,177.97K,-0.30%
7/30/23,1861.81,1880.55,1884.33,1851.63,167.77K,-1.00%
7/29/23,1880.55,1874.23,1886.26,1869.74,79.76K,0.34%
7/28/23,1874.23,1861.32,1882.23,1856.90,148.92K,0.69%
7/27/23,1861.32,1872.00,1885.87,1855.40,176.21K,-0.57%
7/26/23,1872.00,1857.67,1886.92,1849.43,286.61K,0.77%
7/25/23,1857.67,1850.05,1867.36,1845.68,161.06K,0.41%
7/24/23,1850.04,1888.85,1890.78,1835.14,297.13K,-2.05%
7/23/23,1888.85,1866.26,1903.95,1858.12,164.31K,1.21%
7/22/23,1866.25,1891.75,1897.03,1854.09,143.13K,-1.35%
7/21/23,1891.75,1891.68,1905.57,1884.95,176.39K,0.03%
7/20/23,1891.23,1888.64,1928.36,1879.39,321.92K,0.14%
7/19/23,1888.65,1897.58,1920.48,1882.18,244.92K,-0.47%
7/18/23,1897.58,1911.24,1917.21,1877.52,233.00K,-0.71%
7/17/23,1911.24,1922.45,1935.99,1876.00,293.54K,-0.58%
7/16/23,1922.45,1931.43,1942.55,1918.01,158.59K,-0.46%
7/15/23,1931.42,1938.05,1946.10,1926.83,145.89K,-0.34%
7/14/23,1938.05,2004.77,2025.56,1900.22,530.86K,-3.33%
7/13/23,2004.77,1871.86,2010.75,1863.22,588.53K,7.10%
7/12/23,1871.86,1878.33,1901.45,1865.11,280.91K,-0.34%
7/11/23,1878.33,1880.42,1889.83,1863.93,191.47K,-0.11%
7/10/23,1880.42,1862.91,1903.82,1846.71,264.83K,0.94%
7/9/23,1862.91,1865.28,1878.22,1856.97,145.47K,-0.13%
7/8/23,1865.28,1870.92,1873.16,1843.82,136.69K,-0.30%
7/7/23,1870.92,1848.29,1877.51,1827.35,249.82K,1.22%
7/6/23,1848.36,1910.43,1957.58,1847.01,483.00K,-3.25%
7/5/23,1910.43,1936.21,1942.15,1896.43,284.34K,-1.33%
7/4/23,1936.19,1955.56,1966.03,1931.64,226.10K,-0.99%
7/3/23,1955.56,1937.57,1974.61,1934.51,346.33K,0.93%
7/2/23,1937.57,1924.53,1958.36,1893.68,283.61K,0.68%
7/1/23,1924.53,1933.80,1943.20,1909.92,189.41K,-0.48%
6/30/23,1933.80,1851.92,1943.65,1837.49,765.42K,4.42%
6/29/23,1851.92,1827.95,1878.86,1827.95,256.22K,1.31%
6/28/23,1827.95,1889.51,1890.11,1821.94,356.71K,-3.26%
6/27/23,1889.51,1859.00,1911.73,1856.19,386.05K,1.64%
6/26/23,1859.00,1898.80,1906.07,1840.63,479.76K,-2.10%
6/25/23,1898.80,1875.00,1929.61,1869.28,356.99K,1.27%
6/24/23,1875.00,1891.98,1904.04,1865.77,239.37K,-0.90%
6/23/23,1891.97,1872.29,1932.23,1864.60,428.03K,1.05%
6/22/23,1872.32,1889.87,1931.60,1866.66,438.75K,-0.93%
6/21/23,1889.87,1791.64,1899.11,1787.59,653.63K,5.48%
6/20/23,1791.61,1737.06,1793.35,1715.20,359.77K,3.14%
6/19/23,1737.06,1720.98,1748.05,1706.40,263.64K,0.93%
6/18/23,1720.98,1727.79,1746.40,1715.90,167.46K,-0.39%
6/17/23,1727.79,1717.92,1764.06,1714.30,227.93K,0.57%
6/16/23,1717.92,1666.96,1728.35,1653.68,333.35K,3.06%
6/15/23,1666.96,1650.96,1678.94,1632.50,397.40K,0.97%
6/14/23,1650.96,1739.60,1749.90,1636.49,451.13K,-5.10%
6/13/23,1739.60,1742.60,1763.15,1727.64,303.23K,-0.17%
6/12/23,1742.60,1752.80,1757.79,1722.92,320.47K,-0.58%
6/11/23,1752.80,1751.56,1775.87,1740.02,232.04K,0.07%
6/10/23,1751.56,1840.41,1844.23,1719.16,696.59K,-4.83%
6/9/23,1840.41,1845.68,1854.72,1828.66,215.71K,-0.29%
6/8/23,1845.68,1832.10,1860.53,1829.38,202.78K,0.74%
6/7/23,1832.10,1884.63,1893.73,1823.42,454.83K,-2.76%
6/6/23,1884.17,1811.19,1895.79,1800.75,518.57K,4.03%
6/5/23,1811.20,1890.00,1890.53,1782.82,588.61K,-4.17%
6/4/23,1890.04,1892.05,1914.12,1884.54,183.07K,-0.11%
6/3/23,1892.05,1907.10,1907.90,1884.17,157.10K,-0.79%
6/2/23,1907.10,1861.77,1910.01,1847.84,329.16K,2.43%
6/1/23,1861.77,1873.62,1888.07,1846.23,286.98K,-0.63%
5/31/23,1873.63,1900.59,1906.21,1852.00,337.87K,-1.42%
5/30/23,1900.59,1892.61,1915.91,1882.97,288.67K,0.42%
5/29/23,1892.61,1908.37,1925.74,1878.33,338.07K,-0.83%
5/28/23,1908.35,1829.91,1914.92,1824.70,401.09K,4.29%
5/27/23,1829.91,1827.80,1835.94,1817.35,147.46K,0.12%
5/26/23,1827.80,1805.62,1837.39,1798.10,290.89K,1.22%
5/25/23,1805.69,1799.91,1817.05,1764.92,370.60K,0.32%
5/24/23,1799.91,1854.08,1854.08,1781.70,441.64K,-2.92%
5/23/23,1854.08,1817.19,1868.89,1815.41,428.05K,2.03%
5/22/23,1817.19,1804.89,1827.38,1792.35,250.27K,0.68%
5/21/23,1804.89,1819.66,1827.47,1799.03,170.05K,-0.81%
5/20/23,1819.68,1812.32,1828.06,1807.08,134.46K,0.41%
5/19/23,1812.32,1800.95,1829.33,1796.99,253.50K,0.63%
5/18/23,1800.99,1822.12,1831.51,1774.77,311.24K,-1.14%
5/17/23,1821.73,1823.98,1834.44,1785.78,376.26K,-0.12%
5/16/23,1823.98,1817.11,1830.01,1797.60,325.77K,0.38%
5/15/23,1817.11,1799.36,1845.27,1786.61,405.84K,0.99%
5/14/23,1799.36,1795.11,1822.93,1791.86,229.74K,0.25%
5/13/23,1794.95,1807.31,1814.55,1786.23,223.65K,-0.68%
5/12/23,1807.31,1794.71,1812.46,1741.48,598.87K,0.70%
5/11/23,1794.71,1840.92,1841.04,1774.30,548.42K,-2.51%
5/10/23,1840.92,1846.56,1886.83,1797.07,685.11K,-0.31%
5/9/23,1846.56,1847.48,1858.57,1832.05,318.79K,-0.05%
5/8/23,1847.48,1871.03,1883.54,1813.63,667.82K,-1.26%
5/7/23,1870.99,1896.48,1931.39,1870.94,441.65K,-1.34%
5/6/23,1896.48,1993.33,2013.10,1868.09,658.63K,-4.86%
5/5/23,1993.33,1877.06,1996.64,1875.66,589.05K,6.19%
5/4/23,1877.06,1904.76,1915.15,1868.18,372.69K,-1.45%
5/3/23,1904.74,1869.74,1915.00,1844.72,489.66K,1.87%
5/2/23,1869.74,1830.75,1878.70,1823.25,391.27K,2.13%
5/1/23,1830.75,1869.05,1885.70,1807.30,475.92K,-2.04%
4/30/23,1868.88,1907.80,1937.86,1868.88,377.71K,-2.04%
4/29/23,1907.80,1890.93,1915.90,1886.27,193.47K,0.88%
4/28/23,1891.14,1908.79,1922.85,1875.03,408.45K,-0.93%
4/27/23,1908.81,1866.05,1937.55,1862.37,771.48K,2.29%
4/26/23,1866.05,1865.95,1963.46,1793.76,958.23K,0.01%
4/25/23,1865.95,1841.88,1877.54,1804.20,491.98K,1.31%
4/24/23,1841.88,1862.04,1889.09,1809.80,480.28K,-1.08%
4/23/23,1862.05,1873.96,1881.92,1839.05,368.77K,-0.63%
4/22/23,1873.95,1848.88,1886.22,1845.73,351.72K,1.30%
4/21/23,1849.81,1942.72,1955.35,1831.47,769.94K,-4.78%
4/20/23,1942.72,1935.97,1977.95,1917.71,665.65K,0.35%
4/19/23,1935.97,2103.36,2104.31,1925.00,855.36K,-7.96%
4/18/23,2103.34,2074.74,2121.27,2056.86,437.10K,1.38%
4/17/23,2074.74,2118.61,2119.18,2062.17,448.14K,-2.10%
4/16/23,2119.29,2090.59,2137.56,2073.26,342.43K,1.37%
4/15/23,2090.59,2099.98,2110.30,2074.33,340.60K,-0.45%
4/14/23,2099.98,2012.12,2127.56,2009.53,957.03K,4.37%
